Sexo,Comunidades y Ciudades Autónomas,Nacionalidad,Periodo,Total
Ambos sexos,01 Andalucía,Española,2021T4,"45,96"
Ambos sexos,01 Andalucía,Española,2021T3,"44,44"
Ambos sexos,01 Andalucía,Española,2021T2,"44,62"
Ambos sexos,01 Andalucía,Española,2021T1,"43,13"
Ambos sexos,01 Andalucía,Extranjera: Total,2023T4,"48,34"
Ambos sexos,01 Andalucía,Extranjera: Total,2023T3,"49,65"
Ambos sexos,01 Andalucía,Extranjera: Total,2023T2,"51,10"
Ambos sexos,01 Andalucía,Extranjera: Total,2023T1,"50,79"
Ambos sexos,01 Andalucía,Extranjera: Total,2022T4,"51,11"
Ambos sexos,01 Andalucía,Extranjera: Total,2022T3,"48,91"
Ambos sexos,01 Andalucía,Extranjera: Total,2022T2,"48,12"
Ambos sexos,01 Andalucía,Extranjera: Total,2022T1,"48,56"
Ambos sexos,01 Andalucía,Extranjera: Total,2021T4,"45,64"
Ambos sexos,01 Andalucía,Extranjera: Total,2021T3,"45,79"
Ambos sexos,01 Andalucía,Extranjera: Total,2021T2,"46,33"
Ambos sexos,01 Andalucía,Extranjera: Total,2021T1,"46,16"
Ambos sexos,01 Andalucía,Extranjera: Unión Europea,2023T4,"56,77"
Ambos sexos,01 Andalucía,Extranjera: Unión Europea,2023T3,"47,84"
Ambos sexos,01 Andalucía,Extranjera: Unión Europea,2023T2,"55,69"
Ambos sexos,01 Andalucía,Extranjera: Unión Europea,2023T1,"54,57"
Ambos sexos,01 Andalucía,Extranjera: Unión Europea,2022T4,"48,61"
Ambos sexos,01 Andalucía,Extranjera: Unión Europea,2022T3,"50,75"
Ambos sexos,01 Andalucía,Extranjera: Unión Europea,2022T2,"53,49"
Ambos sexos,01 Andalucía,Extranjera: Unión Europea,2022T1,"51,15"
Ambos sexos,01 Andalucía,Extranjera: Unión Europea,2021T4,"47,27"
Ambos sexos,01 Andalucía,Extranjera: Unión Europea,2021T3,"49,56"
Ambos sexos,01 Andalucía,Extranjera: Unión Europea,2021T2,"50,38"
Ambos sexos,01 Andalucía,Extranjera: Unión Europea,2021T1,"47,33"
Ambos sexos,01 Andalucía,Extranjera: No pertenecientes a la Unión Europea,2023T4,"45,51"
Ambos sexos,01 Andalucía,Extranjera: No pertenecientes a la Unión Europea,2023T3,"50,25"
Ambos sexos,01 Andalucía,Extranjera: No pertenecientes a la Unión Europea,2023T2,"49,39"
Ambos sexos,01 Andalucía,Extranjera: No pertenecientes a la Unión Europea,2023T1,"49,29"
Ambos sexos,01 Andalucía,Extranjera: No pertenecientes a la Unión Europea,2022T4,"52,08"
Ambos sexos,01 Andalucía,Extranjera: No pertenecientes a la Unión Europea,2022T3,"48,12"
Ambos sexos,01 Andalucía,Extranjera: No pertenecientes a la Unión Europea,2022T2,"45,93"
Ambos sexos,01 Andalucía,Extranjera: No pertenecientes a la Unión Europea,2022T1,"47,53"
Ambos sexos,01 Andalucía,Extranjera: No pertenecientes a la Unión Europea,2021T4,"44,98"
